ID,holiday,heat,rainfall,flakes,cloud,atmosphere,pa,statement,dt,vol
0,None,288.28,0,0,40, Fog,101297.841,dispersed clounds and rain,2/10/2012 9:00,5362.869808
1,None,289.36,0,0,75, Fog,101314.701,low clouds and high wind,2/10/2012 10:00,4440.76509
2,None,289.58,0,0,90, Fog,100237.826,clouds over head and dispersed sunny,2/10/2012 11:00,4977.020935
3,None,290.13,0,0,90, Fog,100227.86,clouds over head and dispersed sunny,2/10/2012 12:00,4831.672398
4,None,290.2501604,0,0,75, Fog,100653.363,low clouds and high wind,2/10/2012 13:00,5344.629546
5,None,291.72,0,0,1,Fog ,100579.626,clear sky,2/10/2012 14:00,5032.918639
6,None,294.2396924,0,0,1,Fog ,100650.367,clear sky,2/10/2012 15:00,5952.922166
7,None,292.7110088,0,0,1,Fog ,101054.984,clear sky,2/10/2012 16:00,5966.868272
8,None,294.14,0,0,20, Fog,100303.646,bit cloudy,2/10/2012 17:00,5906.317121
9,None,293.1,0,0,20, Fog,101094.919,bit cloudy,2/10/2012 18:00,4677.106653
10,None,290.97,0,0,20, Fog,100562.085,bit cloudy,2/10/2012 19:00,3675.6566
11,None,289.38,0,0,1,Snow,100616.257,thunderstorm with light drizzle,2/10/2012 20:00,2915.913053
12,None,288.61,0,0,1,Fog ,100678.287,clear sky,2/10/2012 21:00,2495.57404
13,None,287.16,0,0,1,Fog ,100505.638,clear sky,2/10/2012 22:00,1578.915772
14,None,285.45,0,0,1,Fog ,100152.109,clear sky,2/10/2012 23:00,927.455547
15,None,284.63,0,0,1,Fog ,100926.476,clear sky,3/10/2012 0:00,624.3239416
16,None,283.47,0,0,1,Fog ,101097.666,clear sky,3/10/2012 1:00,460.1797476
17,None,281.18,0,0,1,Fog ,100760,clear sky,3/10/2012 2:00,453.4988112
18,None,281.09,0,0,1,Fog ,100354.222,clear sky,3/10/2012 3:00,413.9090914
19,None,279.53,0,0,1,Fog ,101193.285,clear sky,3/10/2012 4:00,767.0463579
20,None,278.62,0,0,1,Fog ,100065.731,clear sky,3/10/2012 5:00,2878.515953
21,None,278.23,0,0,1,Fog ,100217.598,clear sky,3/10/2012 6:00,5520.185385
22,None,278.12,0,0,1,Fog ,100894.092,clear sky,3/10/2012 8:00,6325.221765
23,None,282.48,0,0,1,Fog ,100083.366,clear sky,3/10/2012 9:00,5371.102446
24,None,291.97,0,0,1,Fog ,100154.851,clear sky,3/10/2012 12:00,4955.861303
25,None,293.23,0,0,1,Fog ,100553.185,clear sky,3/10/2012 13:00,5295.943134
26,None,294.0089127,0,0,1,Fog ,100744.973,clear sky,3/10/2012 14:00,5490.684351
27,None,295.17,0,0,1,Fog ,100061.993,clear sky,3/10/2012 15:00,5733.625168
28,None,295.13,0,0,1,Fog ,100639.57,clear sky,3/10/2012 16:00,6554.068238
29,None,293.66,0,0,20, Fog,101153.284,bit cloudy,3/10/2012 18:00,4689.643076
30,None,290.65,0,0,20, Fog,100920.875,thunderstorm with light drizzle,3/10/2012 19:00,3440.606005
31,None,288.19,0,0,20, Fog,100804.315,bit cloudy,3/10/2012 20:00,2726.334661
32,None,287.1,0,0,1,Fog ,100519.08,clear sky,3/10/2012 21:00,2621.338246
33,None,286.25,0,0,1,Fog ,100765.294,clear sky,3/10/2012 22:00,1960.028873
34,None,284.0066406,0,0,1,Fog ,100475.329,clear sky,3/10/2012 23:00,924.7233178
35,None,282.792304,0,0,1,Fog ,100084.546,clear sky,4/10/2012 0:00,658.5131412
36,None,281.9866013,0,0,1,Fog ,101134.865,low visiblity fog,4/10/2012 1:00,198.0226572
37,None,283.17,0,0,1,Fog ,100096.914,clear sky,4/10/2012 2:00,401.4362603
38,None,282.04,0,0,1,Fog ,101089,clear sky,4/10/2012 3:00,302.9712796
39,None,282.9669387,0,0,1,Haze,100979.6,low visiblity high smoke,4/10/2012 4:00,674.8916392
40,None,281.32,0,0,1,Fog ,100694.309,clear sky,4/10/2012 5:00,2684.641679
41,None,280.74,0,0,1,Thunderstorm,100548.061,highly raining,4/10/2012 6:00,5755.160582
42,None,280.57,0,0,1,Fog ,100427.808,clear sky,4/10/2012 7:00,6832.358499
43,None,281.86,0,0,1,Fog ,101051.05,clear sky,4/10/2012 8:00,5803.745855
44,None,284.98,0,0,1,Fog ,100973.934,clear sky,4/10/2012 9:00,5236.889959
45,None,289.18,0,0,1,Fog ,100919.214,clear sky,4/10/2012 10:00,4774.45965
46,None,291.55,0,0,1,Fog ,101176.537,clear sky,4/10/2012 11:00,4831.610934
47,None,294.97,0,0,1,Fog ,101194.845,clear sky,4/10/2012 12:00,5142.878456
48,None,296.38,0,0,1,Fog ,101250.388,clear sky,4/10/2012 13:00,5202.380699
49,None,297.32,0,0,1,Fog ,100414.964,clear sky,4/10/2012 14:00,5310.290327
50,None,298.5186927,0,0,1,Fog ,101096.926,clear sky,4/10/2012 15:00,5886.236006
